id,parent_id,intent_name,respond,Evidence,sample_text1,sample_text2,sample_text3,sample_text4,sample_text5,sample_text6,sample_text7,sample_text8,sample_text9,sample_text10,sample_text11,sample_text12,sample_text13,sample_text14,sample_text15,sample_text16,sample_text17,sample_text18,sample_text19,sample_text20,sample_text21,sample_text22,sample_text23,sample_text24,sample_text25,sample_text26,sample_text27,sample_text28,sample_text29,sample_text30,sample_text31,sample_text32,sample_text33,sample_text34,sample_text35,sample_text36,sample_text37,sample_text38,sample_text39,sample_text40,sample_text41,sample_text42,sample_text43,sample_text44,sample_text45,sample_text46,sample_text47,sample_text48,sample_text49,sample_text50
intvsop40ctszgj4om,root,usr.products_for_insurance,"Iya, Brins memiliki produk untuk asuransi harta benda dan rumah tinggal yang bernama BRINS ASRI",,apakah BRINS menyediakan produk untuk asuransi harta benda ?,di BRINS ada produk untuk ansurasi ga?,BRINS ada produk untuk asuransi apa aja?,adakah produk untuk asuransi di brins?,apakah kamu tau tentang produk untuk asuransi di brins?,di brins asri ada produk untuk asuransi apa?,"hallo kak, apakah brins memiliki produk untuk macam2 asuransi?","Nanya dong, brins punya produk untuk asuransi ga?",bisa kasih tau aku tentang produk untuk asuransi?,kalau boleh tau apakah di brins memiliki produk untuk asuransi rumah?,tolong beritahu aku produk untuk ansuransi,kalo di brins apa ada produk untuk asuransi?,"di brins, apa aja sih produk untuk asuransi",info produk untuk asuransi,info dong produk untuk asuransi di brins,info produk untuk asuransi harta benda dan rumah tinggal dong,apa si brins memiliki produk asuransi untuk melindungi harta benda dan rumah tinggal?,"hai kak, apakah brins memiliki produk asuransi untuk melindungi harta benda dan rumah tinggal?",jelasin dong produk untuk asuransi nya brins,emangnya brins punya produk asuransi untuk melindungi harta benda dan rumah tinggal?,kalo boleh tau di brins ada produk untuk asuransi?,memangnya ada produk untuk asuransi?,sebutin dong apa aja fungsi produk untuk asuransi di brins,brins punya broduk untuk asuransi ga nih?,di brins ada produk untuk asuransi apa saja?,aku pingin tau dong apa brins punya produk untuk asuransi?,di brins asri produk untuk asuransi nya apa?,bantu aku dong aku mau tau produk untuk asuransi,ada info produk untuk informasi?,ini ada info tentang produk untuk asuransi ga ya?,produk untuk asuransi di brins itu apa?,boleh tau ga produk untuk informasi di brins?,saya pengen tau dong produk untuk asuransi,produk untuk asuransi apa aja sih?,produk brins untuk asuransi apa aja nih,hai min apa iya brins punya produk asuransi untuk melindungi harta benda dan rumah tinggal?,beri tahu aku produku dari brins untuk asuransi dong,untuk asuransi di brins menggunakan produk?,apa iya brins punya produk untuk asuransi ?,apakah brins menyediakan produk untuk asuransi?,dapatkah kamu menjelakan produk untuk asuransi ?,bisakah kamu menampilkan informasi produk untuk asuransi?,brins nyediain produk untuk asuransi ga?,jika boleh tau apa di brins ada produk untuk asuransi?,di brins ada produk untuk asuransi kan?,kamu tau kan produk untuk asuransi?,,,,
int4054tkolz6cphkh,root,usr.guaranteed_risk_brins_beautiful,"Risiko yang di jamin dalam BRINS ASRI adalah kebakaran dan perluasannya, rumah tinggal, tanggung jawab terhadap tertanggung dan tanggung jawab terhadap pihak ketiga.",,Apakah kecelakaan termasuk risiko yang dapat dijamin BRINS ASRI?,ada apa saja resiko yang bisa dijamin?,risiko seperti apa yang dapat dijamin BRINS ASRI?,brins menjamin resiko apa saja?,"hallo, info resiko BRINS ASRI dong",tampilkan resiko apa saja yang dijamin brins asri,"Nanya dong, resiko yang dijamin apa aja?",bisa kasih tau aku apa saja resiko yang dijamin?,Tolong beri tau resiko yang dijamin brins asri,bisa ga kasih tau aku risiko apa yang dijamin brins asri?,kamu tau ga resiko apa saja yang dijamin sama BRINS ASRI?,apa aja sih risiko yang dijamin brins asri?,saya tanya dong risiko yang dijamin brins apa aja,kalau boleh tau risiko yang dijamin brins itu apa aja ya?,kamu tahu kan risiko yang dijamin brins?,Jelasin resiko yang dijamin brins asri,emangnya risiko yang dijamin brins apa saja?,"hai min, bisa jelaskan resiko apa saja yang dijamin?",risiko yang dijamin brins asri apa kak?,risiko di jamin brins asri,kalau di brins asri risiko yang dijamin ada apa aja?,sebutkan apa saja risiko yang dijamin brins asri,kirimkan data risiko yang dijamin brins asri,risiko yang dijamin apa saja?,bisa jelaskan resiko yang dijamin brins asri?,untuk resiko yang dijamin brins asri itu apa saja?,di brins asri resiko yang dijamin apa aja sih,aku pingin tau resiko yang dijamin brins asri dong,risiko yang dijamin brins asri,tolong sebutin risiko apa saja yang dijamin brins asri,brins asri menjamin risiko apa saja?,info risiko yang dijamin brins asri dong,"bantu aku dong, sebutin risiko yang dijamin brins",brins asri menjamin risiko apa aja nih,ap aja nih risiko yang dijamin brins asri,di brins asri tuh risiko yang dijamin apa aja?,apa sih risiko yang dijamin brins asri,risiko yang dijamin apa aja ya,bolehkah aku lihat risiko yang dijamin brins?,ada info risiko yang dijamin brins ga?,memang risiko yang dijamin brins apa saja?,ada berapa risiko yang dijamin brins asri?,apakah kamu bisa menjelaskan risiko yang dijamin brins asri?,dapatkah kamu menjelaskan risiko yang dijamin brins?,kira kira apa aja nih risiko yang dijamin brins asri?,beri tahu aku risiko yang dijamin brins ada apa aja,,,,
intz9a6r85bd1jcb43,root,usr.beautiful_brins_package,"Iya, pada  BRINS ASRI terdapat 3 pilihan paket bagi tertanggung \/ konsumen seperti : Paket Silver, Paket Gold dan Paket Platinum","wording harus nya ""... tertanggung / konsumen ...""
tapi di v2 "" ... tertanggung konsumen ...""",apa ada pilihan paket untuk brins asri?,adakah pilihan paket di brins untuk konsumen?,apakah ada paket untuk konsumen brins asri kak?,apakah ada paket untuk konsumen brins asri?,apakah kamu tahu apakah ada paket di brins asri?,di brins asri ada paketnya ga sih?,bisa kasih tahu apakah ada paket di brins asri?,di brins asri itu ada paketnya ga sih?,"kalo boleh tahu, apakah ada paket untuk brins asri?",kalo brins asri apakah ada paketnya?,adaa paket di brins asri?,di brins asri ada paketnya ga ya?,"apakah kamu tahu, apakah ada paket di brins asri?",di brins asri itu ada paketnya ga ya?,kalau di brins asri itu ada paketnya kan ya?,paket brins asri,paket di brins asri apa aja?,apa aja paket yang ada di brins asri?,di brins asri itu ada paket apa aja ya?,sebutkan paket yang ada di brins asri?,untuk brins asri apakah ada paketnya?,brins asri ada paketnya ga sih?,apa aja sih paket yang ada di brins asri?,untuk brins asri apakah ada paket2nya?,paket di brins asri apakah ada?,bisa sebutin apa aja paket yang ada di brins asri?,di brins asri itu paketnya apa aja nih?,sebutin dong apa aja paket brins asri?,brins asri ada paket apa aja sih kak?,boleh tahu apa aja paket yang ada di brins asri?,paket2 yang ada di brins asr,paket-paket yang ada di brins asri apa aja ya?,tolong beritahu saya apa aja paket yang ada di brins asr,jelaskan paket apa aja yang ada di brins asri?,brins asri itu ada paket-paket apa aja?,saya boleg tahu paket brins asri apa aja?,tlg dong kasih tahukan saya paket yang ada di brins asri?,brins asri ada paket apa aja?,brins asri tuh ada paket apa aja ya?,brins asri menyediakan paket apa aja?,apa aja paket yang disediakan brins asri?,brins asri terdapat paket apa aja?,paket apa yang terdapat di brins asri?,brins asri ada paket apa aja nih? kalo boleh tahu,untuk paket brins asri ada apa aja?,paket brins asri dong,,,,
intjn6ie9boa1xamgv,root,usr.brins_vehicle_insurance,Brins memiliki produk untuk asuransi kendaraan bermotor yang bernama BRINS OTO,,ada ga sih asuransi kendaraan di brins,apakah brins menyediakan produk asuransi kendaraan,asuransi untuk melindungi kendaraan bermotor di brins ada ga,kalau saya mau asuransiin perlindungan kendaraan di brins bisa ga,kalau begitu apakah BRINS menyediakan asuransi kendaraan bermotor,produk asuransi perlindungan kendaraan di BRINS ada ga,brins nyediain asuransi kendaraan ga sih,halo mimin apakah BRINS nyediain produk asuransi perlindungan mobil,produk asuransi kendaraan di brins ada kan ya,asuransi kendaraan yang disediain sama brins ada gak,halo apakah brins menyediakan asuransi untuk melindungi kendaraan,asuransi kendaraan di brins namanya apa ya,nama asuransi kendaraan di brins apa ya,nama produk asuransi untuk perlindungan kendaraan di brins apa ya,"selamat pagi, apakah brins menyediakan layanan asuransi kendaraan",mau asuransiin kendaraan di brins bisa ga ya,kamu tau ga nama asuransi kendaraan di BRINS,mohon infonya tentang produk asuransi kendaraan di brins,info tentang produk asuransi kendaraan di brins,produk asuransi kendaraan bermotor di brins ada ga sih,BRINS menyediakan layanan asuransi untuk kendaraan bermotor tidak ya,jadi BRINS nyediain produk asuransi atau tidak ya,asuransi di BRINS untuk kendaraan ada ga?,saya mau asuransiin kendaraan di BRINS bisa ga?,kalo mau mengansuransikan kendaraan saya di BRINS bisa ga ya,asuransiin mobil di BRINS bisa?,saya mau mengansuransikan perlindungan mobil saya di BRINS bisa tidak ya,apakah pihak BRINS menyediakan asuransi kedaraan bermotor,di BRINS ada produk asuransi kendaraan tidak ya,produk asuransi di brins ada yang menyangkut tentang kendaraan ga?,jadi brins nyediain asuransi untuk kendaraan ya?,halo apakah di brins ada layanan assuransi perlindungan untuk mobil,saya mau asuransikan mobila saya apakah di brins menyediakan layanan asuransi itu?,bisa ga sih ngansuransiin mobil di brins,BRINS layanan atau produk asuransi kendaraan,produk asuransi kendaraan bermotor di brins ada apa saja,produk asuransi di brins untuk kendaraan roda empat,apa brins menyediakan produk asuransi untuk mobil atau motor,asuransi keselamatan kendaraan bermotor di brins ada tidak ya,apa iya brins menyediakan produk asuransi kendaraan bermotor,apa benar brins menyediakan produk asuransi keselamatan kendaraan bermotor,apakah benar BRINS memiliki produk asuransi keselamatan untuk kendaraan bermotor,apakah brins memiliki asuransi keselamaan untuk kendaraan bermotor,brins nyediain asuransi keselamatan untuk kendaraan bermotor ga ya,produk asuransi kendaraan itu tersedia di BRINS atau tidak ya,apakah di brins tersedia produk asuransi untuk kendaraan bermotor?,,,,
intem7du6rts9o41kt,root,usr.risk_that_can_be_guaranteed_brins_oto,Risiko yang di jamin dalam BRINS OTO adalah TLO dan Comprehensive,,resiko jaminan apa saja yang dapat tercover oleh brins oto,apa saja sih resiko kerusakan yang dapat dijamin oleh brins oto,resiko seperti apa yang bisa dijaminkan oleh brins oto,brins oto memberikan jaminan terhap resiko yang seperti apa ya,apa jenis resiko yang dijaminkan oleh brins oto,resiko kerusakaan seperti apa yang dijamin oleh brins oto,halo resiko apa saja yang dijaminkan dalam brins oto,brins oto jenis resiko seperti apa sih yang dijaminkan,"dalam brins oto, jenis resiko seperti apa yang bisa dijaminkan",brins oto itu bisa memberikan jaminan terhadap resiko yang seperti apa,brins oto bisa kasih jaminan resiko seperti apa,apa saja jaminan resiko yang diberikan oleh brins oto,brins oto bisa ngasih jaminan resiko yang seperti apa,jaminan resiko yang seperti apa yang bisa dikasih brins oto,brins oto bisa ngasih jaminan resiko kerusakan apa saja ya,di brins oto itu jenis jaminan resiko yang ditanggungkan itu apa saja,hai brins oto bisa kasih jaminan resiko apa saja ya,hai brins oto bisa kasih jaminan resiko apa saja,resiko yang dijaminkan oleh brins oto apa saja ya,apa resiko yang bisa dijaminkan oleh brins oto,brins oto bisa menjaminkan resiko kerusakan yang seperti apa,risiko yang dijamin oleh brins oto apa saja,apa saja risiko yang dijamin sama brins oto,brins oto bisa kasih jaminan risiko apa saja,risiko kerusakaan seperti apa yang dijamin oleh brins oto,brins oto bisa memberikan jaminan untuk risiko kerusakaan yg spt apa ya,mau tau dong risiko apa saja yang dijamin oleh brins oto,hey brins oto bisa kasih aku jaminan risiko apa saja,jaminan risiko apa aja yang bisa saya dapat dari brins oto,risiko kerusakaan kendaraan yang seperti apa yang bisa dijamin oleh brins oto,jaminan resiko kerusakaan kendaraan seperti apa yang bisa diberikan oleh brins oto,brins oto bisa kasih jaminan risiko untuk kerusakan kendaraan yg seperti apa,brins oto bisa kasih jaminan risiko apa saja to,apa jaminan risiko yg saya dapatkan di brins oto,saya dapat jaminan risiko apa saja ya di brins oto,di brins oto jaminan risiko yang bisa saya dapatkan apa saja ya,jaminan risiko yang seperti apa yang didapatkan kendaraan saya jika menggunakan brins oto,jika pakai brins oto jaminan risiko seperti apa yang dicover oleh brins oto,brins oto cover jaminan risiko apa saja ya,jaminan risiko yang tercover oleh brins oto apa saja ya,jaminan risiko kerusakaan yg kyk gmn yg dicover sama brins oto,emg brins oto bisa kasih jaminan risiko apa saja,brins oto nawarin jaminan risiko apa aja emgnya,jaminan risiko apa saja yg bisa diterima kendaraan saya,kalau kendaraan saya rusak jaminan risiko apa yg bisa dicover sama brins oto,brins oto bisa kasih jaminan risiko apa sih buat kendaraan saya,,,,
int9stiyy1dnh8rpa6,root,usr.tlo_guarantee,"Asuransi TLO kerugian total Penggantian hanya diberikan apabila kendaraan mengalami kerugian total, seperti kendaraan hilang dicuri atau tabrakan\/kebakaran yang menyebabkan kerusakan parah dengan estimasi biaya perbaikan sama dengan atau minimal 75% dari harga pasar kendaraan.","wording kurang tanda /
https://im.ge/i/qRaks1",apa itu jaminan TLO,jaminan TLO itu singkatan dari apa,jaminan TLO itu apa mimin?,memang jaminan TLO itu apa,jenis jaminan seperti apa jaminan TLO itu?,apa yang dimaksud dengan jaminan risiko jaminan TLO,apa itu jaminan TLO di brins oto,jaminan TLO di brins oto itu apa sih,apakah yg dimksd sama jaminan TLO,jaminan risiko jaminan TLO itu apa mksdnya,maksud dari jaminan TLO adalah,jaminan TLO adalah,mau tau dong tentang jaminan TLO,terus jaminan TLO itu apa emgnya,jaminan TLO itu apa memangnya,jaminan TLO itu jenis jaminan seperti apa ya memangnya,mau tau lebih dong tentang jaminan TLO,info jaminan TLO dong,kasih info dong tentang jaminan TLO,jaminan TLO itu apa min?,jaminan TLO itu mksdnya apa ya kak,kak jaminan TLO itu apa mksdnya,lalu apa yg dimaksd jaminan TLO itu,jaminan TLO itu jenis jaminan seperti apa,jenis jaminan sepertti apa jaminan TLO itu,jaminan risiko jaminan TLO dalam brins adalah,apa sih kepanjangan dari jaminan TLO,jaminan TLO itu kepanjangannya apa,apa kepanjangan jaminan TLO,jaminan TLO itu kepanjanannya apa ya,maaf bisa kamu kasih tau apa itu jaminan TLO,bisa ga kamu kasih tau aku ttg jaminan TLO,jaminan TLO itu merupakan jenis jaminan spt apa ya,jaminan TLO itu kepanjangannya apa ya klo boleh tau,lalu jaminan TLO itu apa?,kalau jaminan TLO itu apa dong,mau dong kalau jaminan TLO itu apa sih,info lebih dong ttg jaminan TLO,kasih aku info lebih dong tentang jaminan TLO,bisa kasih tau aku tentang jaminan TLO?0,kalau jaminan TLO itu kepanjangannya apa dan jenis jaminan resiko apa itu,jaminan resiko jaminan TLO itu apa sih,apa yang dmksd sama jaminan resiko jaminan TLO,jaminan TLO itu jenis jaminan yang diberikan BRINS ya?,aku mau tau dong tentang jaminan TLO di BRINS,info dong tentang jaminan risiko jaminan TLO di brins,,,,
intd6znbakjdi00qpo,root,usr.comprehensive_guarantee,Asuransi Comprehensive Menjamin kerugian dan atau kerusakan pada kendaraan bermotor dan atau kepentingan yang dipertanggungkan baik Partial Loss atau Total Loss.,,apa itu jaminan comperhensive,jaminan comperhensive itu apa emgnya ya,jaminan comperhensive itu apa mimin?,memang jaminan comperhensive itu apa,jenis jaminan seperti apa jaminan comperhensive itu?,apa yang dimaksud dengan jaminan risiko comperhensive,apa itu jaminan comperhensive di brins oto,jaminan comperhensive di brins oto itu apa sih,apakah yg dimksd sama jaminan comperhensive,jaminan risiko comperhensive itu apa mksdnya,maksud dari jaminan comperhensive adalah,jaminan comperhensive adalah,mau tau dong tentang jaminan comperhensive,terus jaminan comperhensive itu apa emgnya,jaminan comperhensive itu apa memangnya,jaminan comperhensive itu jenis jaminan seperti apa ya memangnya,mau tau lebih dong tentang jaminan comperhensive,info jaminan comperhensive dong,kasih info dong tentang jaminan comperhensive,jaminan comperhensive itu apa min?,jaminan comperhensive itu mksdnya apa ya kak,kak jaminan comperhensive itu apa mksdnya,lalu apa yg dimaksd jaminan comperhensive itu,jaminan comperhensive itu jenis jaminan seperti apa,jenis jaminan sepertti apa jaminan comperhensive itu,jaminan risiko comperhensive dalam brins oto adalah,terus apa sih jaminan comperhensive,jaminan comperhensive itu cover apa aja,jaminan comperhensive bisa cover risiko apa saja ya,jaminan comperhensive itu apa ya saya mau tau dong,maaf bisa kamu kasih tau apa itu jaminan comperhensive,bisa ga kamu kasih tau aku ttg jaminan comperhensive,jaminan comperhensive itu merupakan jenis jaminan spt apa ya,jaminan comperhensive itu bisa cover risiko spt apa ya klo boleh tau,lalu jaminan comperhensive itu apa?,kalau jaminan comperhensive itu apa dong,mau tahu dong kalau jaminan comperhensive itu apa sih,info lebih dong ttg jaminan comperhensive,kasih aku info lebih dong tentang jaminan comperhensive,bisa kasih tau aku tentang jaminan comperhensive?,kalau jaminan comperhensive itu bisa cover resiko apa dan jenis jaminan resiko apa itu,jaminan resiko comperhensive itu buat resiko apa,apa yang dmksd sama jaminan resiko comperhensive,jaminan comperhensive itu jenis jaminan yang diberikan BRINS oto ya?,aku mau tau dong tentang jaminan comperhensive di BRINS,info dong tentang jaminan risiko comperhensive di brins,,,,
int3vsutqsumv4rlc3,root,usr.maximum_age_of_the_vehicle,Usia maksimal yang dapat diasuransikan dalam BRINS OTO untuk jaminan TLO 15 tahun dan untuk Comprehensive 10 tahun.,,halo mimin berapa tahun usia maksimal kendaraan yang bisa mendapatkan asuransi brins oto,berapa batas usia kendaraan yg bisa dapet asuransi brins oto,batas usia kendaraan yang diizinkan untuk bisa diasuransikan dalam brins oto,brp sih batas usia maksimal kendaraan yang bisa diasuransikan dalam brins oto,maksimal usia kendaraan untuk bisa diasuransiin di brins oto berapa ya,kamu tau gk batas usia kendaraan yg bisa diasuransiin di brins oto,syarat batas maksimal umur kendaraan untuk asuransi brins oto,persyaratan usia maksimal kendaraan untuk asuransi brins oto,berapa syarat usia maksimal kendaraan untuk asuransi brins oto,terus brp usia kendaraan yang bisa diasuransikan,batas usia maksimal kendaraan yg bisa diasuransiin brp sih,kamu tau gak sih brp maksimal usia kendaraan yg diperbolehin buat asuransi di brins oto,brp usia maksimal kendaraan yang bisa dpt asuransi di brins oto kamu tau gk,halo brp tahun usia maksimal kendaraan utk bisa di asuransiin di brins oto,berapa tahun sih usia maksimal kendaraan agar bisa diasuransikan di brins oto,kamu tau ga sih brp usia maksimal kendaraan agar bisa diasuransiin di brins oto,jd klo gt berapa sih usia maksimal kendaraan spya bisa diasuransiin,halo saya mau tau dong asuransi kendaraan brins oto itu menerima kendaraan di usia berapa ya,berapa usia kendaraan yang diizinkan agar bisa mendapat asuransi brins oto,brp usia kendaraan yg bisa dapet asuransi brins oto,brins oto itu nerima kendaraan maksimal usia brp ya?,syarat usia kendaraan agar bisa diasuransikan di brins oto,mkasimal usia kendaraan yang bisa mendapatkan asuransi dalam brins oto,asuransi kendaraan dari brins oto bisa menerima kendaraan di usia brp,brp usia maks kendaraan yang bisa dapet asuransi brins oto,mau tau dong usia maks kendaraan yg bisa dapet asuransi brins oto,berapa usia maks mobil yg bisa mendapatkan asuransi di brins oto,mobil dengan usia maksimal berapa tahun yg dapat diasuransikan di brins oto?,brins oto bisa nerima mobil asuransi dengan maksimal usia brp ya,apakah kamu tau berapa usia maksimum suatu kendaraan agar dapat diasuransikan di brins oto,brins oto dapat menerima kendaraan dengan batas usia maksimal berapa tahun ya,kendaraan yang dapat diasuransikan di brins oto maksimal usia berapa ya,oiya kendaraan yang bisa diasuransiin di brins oto itu maksimal berusia berapa tahun ya,mobil yang bisa diasuransiin di brins oto itu maks berusia brp tahun ya mbak?,apakah kamu tau usia maksimal mobil yang bisa diasuransikan oleh brins oto,brins oto bisa mengansuransikan kendaraan dengan usia maksimal brp tahun ya,brins oto itu bisa mengansuransikan kendaraan dgn umum kendaraan maks umur brp tahun ya,saya mau tahu berapa syarat maksimal umur kendaraan untuk bisa diasuransikan di brins oto,syarat usia kendaraan yang bisa dapet asuransi brins oto brp ya kak,jk saya asuransi di brins oto berapa usia maksimal utk kendaraan saya agar bisa menerima asuransi ini,brins oto menerima kendaraan dengan usia maksimal berapa tahun ya untuk bisa diasuransikan,oiya kalau boleh tau brins oo itu menerima kendaraan dgn umur maks brp tahun ya supaya bisa diasuransikan,agar dapat mengansuransikan kendaraan di brins oto berapa usia maksimal yg diterima oleh brins oto,berapa usia maksimal kendaraan yang bisa diterima oleh brins oto agar dapat diasuransikan,jika boleh tau berapa memangnya usia maksimal kendaraan yang bisa menerima asuransi,asuransi di brins oto itu maksimal usia kendaraan brp tahun ya,,,,
intpxwc4ncmhuuyr1d,root,usr.auto_brins_pack,"Pada BRINS OTO terdapat 4 (empat) pilihan paket bagi tertanggung \/ konsumen seperti : Paket Bronze, paket Silver, Paket Gold dan Paket Platinum","wording kurang tanda /
